Index	Distance[?m]	Time[s]	Velocity[?m/s]
139.000000	0.860297	0.706000	1.218550
140.000000	0.696084	0.604000	1.152457
141.000000	1.749168	2.720000	0.643077
142.000000	1.488666	1.612000	0.923490
143.000000	0.774862	0.806000	0.961367
144.000000	0.448854	0.403000	1.113781
145.000000	0.734488	0.705000	1.041827
146.000000	0.652878	0.403000	1.620045
147.000000	1.229177	1.310000	0.938303
148.000000	1.197628	1.209000	0.990594
149.000000	1.891886	2.217000	0.853354
150.000000	0.941193	1.209000	0.778489
151.000000	1.054569	0.907000	1.162701
152.000000	2.230820	2.417000	0.922971
153.000000	1.712957	1.411000	1.214002
154.000000	1.141971	1.411000	0.809335
155.000000	0.897263	1.310000	0.684934
156.000000	0.649012	0.504000	1.287721
157.000000	1.622529	1.612000	1.006532
158.000000	0.887777	0.705000	1.259258
159.000000	1.842575	2.015000	0.914430
160.000000	0.941761	1.008000	0.934287
161.000000	0.950485	0.806000	1.179262
162.000000	1.308266	1.410000	0.927848
163.000000	2.031566	2.317000	0.876809
164.000000	1.260953	2.015000	0.625783
165.000000	0.806988	0.806000	1.001225
166.000000	0.968385	0.806000	1.201470
167.000000	1.825893	1.813000	1.007112
168.000000	1.582441	2.015000	0.785330
169.000000	0.608631	0.907000	0.671038
170.000000	0.734125	0.705000	1.041311
171.000000	1.871352	1.914000	0.977718
172.000000	1.749308	1.814000	0.964337
173.000000	1.587005	1.814000	0.874865
174.000000	0.897208	0.604000	1.485444
175.000000	5.897835	7.454000	0.791231
176.000000	0.889405	1.008000	0.882346
177.000000	1.371886	1.512000	0.907332
178.000000	1.541866	1.813000	0.850450
179.000000	1.199979	1.208000	0.993360
180.000000	2.991030	4.130000	0.724220
181.000000	1.466840	1.612000	0.909951
182.000000	0.770961	0.706000	1.092012
183.000000	0.770961	0.806000	0.956527
184.000000	0.775928	1.007000	0.770534
185.000000	0.365682	1.007000	0.363140
186.000000	0.690732	0.403000	1.713976
187.000000	1.067394	1.209000	0.882874
188.000000	1.383174	1.310000	1.055858
189.000000	0.854313	0.605000	1.412088
190.000000	2.003180	2.418000	0.828445
191.000000	1.108448	1.612000	0.687623
192.000000	1.983668	2.015000	0.984451
193.000000	1.270412	1.713000	0.741630
194.000000	2.435735	3.425000	0.711164
195.000000	0.806988	0.705000	1.144663
