Index	Distance[?m]	Time[s]	Velocity[?m/s]
139.000000	1.136400	1.410000	0.805958
140.000000	0.881914	0.504000	1.749830
141.000000	0.474569	0.302000	1.571422
142.000000	2.750238	2.317000	1.186982
143.000000	0.713405	0.504000	1.415485
144.000000	1.182534	0.907000	1.303787
145.000000	0.810881	0.806000	1.006056
146.000000	0.912241	0.806000	1.131812
147.000000	0.885500	0.504000	1.756943
148.000000	1.046185	0.705000	1.483950
149.000000	3.173017	2.720000	1.166551
150.000000	0.950186	1.511000	0.628846
151.000000	0.644769	0.906000	0.711666
152.000000	1.832502	2.115000	0.866431
153.000000	0.780510	0.806000	0.968375
154.000000	0.649494	0.605000	1.073544
155.000000	1.596661	1.309000	1.219756
156.000000	1.397794	0.805000	1.736390
157.000000	0.859077	0.604000	1.422313
158.000000	1.341496	1.109000	1.209644
159.000000	1.321882	1.712000	0.772127
160.000000	0.915149	0.504000	1.815772
161.000000	0.847360	0.403000	2.102631
162.000000	0.891974	0.604000	1.476778
163.000000	2.818303	2.216000	1.271798
164.000000	1.040088	0.806000	1.290432
165.000000	0.402615	0.101000	3.986285
166.000000	2.113728	1.612000	1.311245
167.000000	0.637473	0.202000	3.155809
168.000000	1.554183	1.109000	1.401427
169.000000	0.413372	1.108000	0.373080
170.000000	2.263743	1.813000	1.248617
171.000000	0.913496	0.907000	1.007162
172.000000	0.884842	0.604000	1.464971
173.000000	2.273299	1.612000	1.410235
174.000000	2.166028	3.123000	0.693573
175.000000	3.648523	6.447000	0.565926
176.000000	2.318688	1.612000	1.438392
177.000000	0.647869	0.604000	1.072630
178.000000	1.111752	0.504000	2.205857
179.000000	2.329557	2.015000	1.156108
180.000000	4.076725	3.727000	1.093836
181.000000	0.513873	0.605000	0.849377
182.000000	1.054487	0.504000	2.092236
183.000000	0.646298	0.504000	1.282338
184.000000	0.850393	0.906000	0.938623
185.000000	1.191380	0.706000	1.687507
186.000000	1.774053	1.108000	1.601131
187.000000	2.217566	1.612000	1.375662
188.000000	1.519870	1.411000	1.077158
189.000000	2.500614	2.216000	1.128436
190.000000	2.202259	1.713000	1.285615
191.000000	1.325228	1.612000	0.822102
192.000000	0.577664	0.403000	1.433408
193.000000	1.907560	2.115000	0.901919
194.000000	2.146005	0.907000	2.366047
195.000000	1.021907	0.201000	5.084114
196.000000	2.368323	2.014000	1.175930
197.000000	1.928492	1.914000	1.007571
198.000000	0.515649	0.302000	1.707446
199.000000	1.100051	0.504000	2.182641
200.000000	2.652820	2.821000	0.940383
201.000000	2.009148	1.713000	1.172883
202.000000	0.102160	0.806000	0.126749
203.000000	1.259974	1.411000	0.892965
204.000000	1.396187	1.109000	1.258961
