Index	Distance[?m]	Time[s]	Velocity[?m/s]
364	0,791138	0,604	1,309832
365	0,409748	1,813	0,226006
366	0,409748	0,605	0,67727
367	0,274175	0,302	0,907863
368	1,526012	1,713	0,890842
369	0,612398	0,705	0,868649
370	0,341863	0,706	0,484225
371	0,307981	0,302	1,019803
372	0,344569	0,303	1,137191
373	0,206741	0,202	1,023472
374	3,653918	4,533	0,806071
