Index	Distance[?m]	Time[s]	Velocity[?m/s]
1.000000	2.633217	2.015000	1.306807
2.000000	1.025929	0.806000	1.272864
3.000000	1.719011	1.007000	1.707061
4.000000	6.305036	6.044000	1.043189
5.000000	1.192845	0.806000	1.479956
6.000000	0.820933	0.604000	1.359161
7.000000	0.684111	0.302000	2.265269
8.000000	0.513083	0.201000	2.552653
9.000000	3.237721	2.620000	1.235771
10.000000	2.078958	1.914000	1.086185
11.000000	1.124682	1.512000	0.743837
12.000000	3.067315	1.611000	1.903982
13.000000	0.681625	1.109000	0.614631
14.000000	0.545300	0.604000	0.902815
15.000000	0.136325	0.302000	0.451408
16.000000	0.669535	0.705000	0.949695
17.000000	1.880564	1.209000	1.555471
18.000000	0.785833	0.302000	2.602097
19.000000	1.313053	0.806000	1.629097
20.000000	1.178132	1.007000	1.169942
21.000000	1.589218	1.209000	1.314490
22.000000	2.028789	1.611000	1.259335
23.000000	0.796709	0.605000	1.316875
24.000000	1.658365	0.201000	8.250574
25.000000	0.473819	0.604000	0.784468
26.000000	1.060811	0.906000	1.170873
27.000000	0.444856	0.403000	1.103861
28.000000	0.410636	0.202000	2.032853
29.000000	1.037115	1.007000	1.029905
30.000000	0.906824	0.806000	1.125092
31.000000	1.476897	0.805000	1.834655
32.000000	1.115920	0.403000	2.769032
33.000000	0.697450	0.201000	3.469901
34.000000	2.724566	2.418000	1.126785
35.000000	2.127167	1.813000	1.173286
36.000000	1.613347	1.007000	1.602132
37.000000	0.350728	0.201000	1.744913
38.000000	2.613987	2.418000	1.081053
39.000000	0.619102	0.403000	1.536234
40.000000	1.614538	2.115000	0.763375
41.000000	1.521102	1.310000	1.161146
42.000000	2.389867	2.619000	0.912511
43.000000	1.569570	1.208000	1.299313
44.000000	0.102363	0.202000	0.506749
45.000000	0.580058	0.403000	1.439351
46.000000	2.754163	2.015000	1.366830
47.000000	3.464462	3.425000	1.011522
48.000000	1.269159	0.907000	1.399294
49.000000	2.094117	1.813000	1.155056
50.000000	1.323928	1.612000	0.821295
51.000000	2.139239	2.015000	1.061657
52.000000	1.863106	1.411000	1.320416
53.000000	2.129278	1.713000	1.243011
54.000000	0.961610	0.705000	1.363985
55.000000	1.657352	1.007000	1.645832
56.000000	1.048529	0.806000	1.300905
57.000000	0.980882	0.706000	1.389351
58.000000	0.913235	0.504000	1.811974
59.000000	1.758823	1.813000	0.970117
60.000000	1.192615	0.907000	1.314901
61.000000	0.717853	0.403000	1.781272
62.000000	0.958152	0.806000	1.188774
63.000000	1.437227	1.310000	1.097120
64.000000	0.650174	0.303000	2.145790
65.000000	0.444856	0.605000	0.735299
66.000000	2.011160	1.813000	1.109300
67.000000	1.124886	0.504000	2.231917
68.000000	3.262220	2.720000	1.199346
69.000000	1.330493	0.806000	1.650736
70.000000	3.513867	2.317000	1.516559
71.000000	0.443498	1.108000	0.400269
72.000000	0.893234	0.907000	0.984822
73.000000	1.069880	1.007000	1.062443
74.000000	0.468073	0.604000	0.774955
75.000000	1.329716	0.806000	1.649771
76.000000	1.250657	0.705000	1.773982
77.000000	0.764273	0.604000	1.265353
78.000000	0.833752	1.511000	0.551789
79.000000	1.069173	0.705000	1.516557
80.000000	0.724279	0.605000	1.197155
81.000000	2.210501	1.310000	1.687405
82.000000	1.830571	2.115000	0.865518
83.000000	1.262447	0.806000	1.566312
84.000000	1.927343	1.511000	1.275541
85.000000	2.202677	1.612000	1.366425
86.000000	0.653920	0.706000	0.926232
87.000000	1.617591	1.511000	1.070544
